Gesture_num,Gesture_name,Position_cell,Time_cell,Bpm,Tense_value
0,bar_1,"{[0,10,0,-10,0,10,0,-10,0,0,10,0];[0,-52,0,52,-9.4,9.4,-52];0;[0,-88.6,0,88.6,10.4,-10.4,-88.6];0;[0,-26.6,0,26.6,-57,57,-26.6];0}","{[0.5,0.25,0.25,0.25,0.75,0.25,0.25,0.25,1.25,7,0.25,0.5];[1.25,0.75,2,2,2,2,2];12;[1.25,0.75,2,2,2,2,2];12;[1.25,0.75,2,2,2,2,2];12}",30,0
1,go_to_start,{0;-51.9;0;21.1;0;-12.8;0},{4;4;4;4;4;4;4},30,0
2,brick,"{[0,0,87,0,-14,20,0];[-51.9,0,-9.6,0,95.6,0,3,-165];[0,0,-192,0];[21.1,0,54,-134,128,-118,182,0];[0,0,-18,0,-3,-137,0];[-12.8,-31.8,198.2,0,-137,55.6,0,93,0];0}","{[4,2.5,3,3.75,3,3,0.75];[4,0.5,2,3,3,0.75,3,3.75];[4,3.5,9.75,0.75];[4,0.5,2,3,3,3.75,3,0.75];[4,5.5,3,0.75,3,3,0.75];[4,1,2,1,2,2,0.25,6.5,.75];20}",30,0
3,canon_rl,"{[0,-75,0];[0,-68,0,40,-23,0];[0,-31,31,0];[0,-52,29,0,-29,0,99];[0,-184,0];[165,-165,20,0,-27,27,0,-10,70];0}","{[5.5,2,1.75];[1,3,2.5,1,1,0.75];[4,1.5,2,1.75];[0.5,1.5,2,0.5,1,1,2.75];[4.5,3,1.75];[2,1.5,0.5,1,0.5,0.5,1.5,0.75,1];9.25}",35,0
4,canon_lr,"{[0,75,0];[0,-68,0,40,-23,0];[0,31,-31,0];[0,-52,29,0,-29,0,99];[0,-184,0];[165,-165,20,0,-27,27,0,-10,70];0}","{[5.5,2,1.75];[1,3,2.5,1,1,0.75];[4,1.5,2,1.75];[0.5,1.5,2,0.5,1,1,2.75];[4.5,3,1.75];[2,1.5,0.5,1,0.5,0.5,1.5,0.75,1];9.25}",35,0
5,up,"{0;-45;6;45;0;[160,-81];0}","{2;2;2;2;2;[1,1];2}",35,0
6,recoil1,"{150;[0,-85];[0,-42];[0,-99];166;[139,-26];0}","{6.75;[0.75,6];[0.75,6];[0.75,6];6.75;[4.75,2];6.75}",35,0
7,recoil2,"{[0,-5,0];[0,108,0,10];[0,97,0,76];[0,-86,0,48];[80,0,100,0,-5];[139,0,-130,0,73];0}","{[0.5,3,7];[0.5,6,2,2];[0.5,6,2,2];[0.5,3,5,2];[2.5,1,3,2,2];[2.5,0.75,3.25,2,2];10.5}",35,0
8,recoil3,"{[93,0];[113,-88];[157,0];[-90,0];[60,0];[135,-234];0}","{[4,3];[4,3];[4,3];[4,3];[4,3];[3,4];7}",35,0
9,come1,"{0;[100,0];0;[61,0];0;[-47,0];0}","{8;[4,4];8;[4,4];8;[4,4];8}",35,0
10,come2,"{0;[0,106];0;[0,-68,137];0;[127,-172];0}","{5.5;[2,3.5];5.5;[0.5,2,3];5.5;[2.5,3];5.5}",35,0